id,name,latitude,longitude,distance_km,duration_min,type,address
144,"Mayberry, 3, Edmunds Street, Darwin City, Darwin, City of Darwin, Northern Territory, 0800, Australia",-12.4618748,130.8412001,0.71,1.54,restaurant,Edmunds Street
145,"City Pizza, Cavenagh Street, One Mile Dam, Darwin City, Darwin, City of Darwin, Northern Territory, 0800, Australia",-12.4620547,130.8423947,0.52,1.17,restaurant,Cavenagh Street
146,"PM Eat and Drink, 56 Smith Street, Knuckey Street, Darwin City, Darwin, City of Darwin, Northern Territory, 0800, Australia",-12.4621143,130.8423333,0.53,1.19,restaurant,Knuckey Street
147,"Little Miss Korea, Austin Lane, Darwin City, Darwin, City of Darwin, Northern Territory, 0800, Australia",-12.4622633,130.8416285,0.64,1.43,restaurant,Austin Lane
148,"Good Thanks, 33, Knuckey Street, Darwin City, Darwin, City of Darwin, Northern Territory, 0800, Australia",-12.4622749,130.8422086,0.56,1.22,restaurant,Knuckey Street
149,"Mellow Thai, 69, Mitchell Street, Darwin City, Darwin, City of Darwin, Northern Territory, 0800, Australia",-12.4627718,130.8392303,1.01,2.08,restaurant,Mitchell Street
150,"Go Sushi, 28, Mitchell Street, Darwin City, Darwin, City of Darwin, Northern Territory, 0800, Australia",-12.4647618,130.8419141,0.71,1.79,restaurant,Mitchell Street
151,"Outback Jacks, 28, Mitchell Street, Darwin City, Darwin, City of Darwin, Northern Territory, 0800, Australia",-12.4646556,130.8418069,0.69,1.72,restaurant,Mitchell Street
152,"Curry14, 27, Smith Street, Darwin City, Darwin, City of Darwin, Northern Territory, 0800, Australia",-12.4643117,130.8425648,0.56,1.72,restaurant,Smith Street
153,"Istanbul, 69, Mitchell Street, Darwin City, Darwin, City of Darwin, Northern Territory, 0800, Australia",-12.462982,130.8394516,0.98,2.01,restaurant,Mitchell Street
154,"Alfonsino‘s, 69, Mitchell Street, Darwin City, Darwin, City of Darwin, Northern Territory, 0800, Australia",-12.4630157,130.8392889,0.99,2.03,restaurant,Mitchell Street
155,"Sapphire Bar and Grill Darwin CBD, 48-50, Smith Street, Darwin City, Darwin, City of Darwin, Northern Territory, 0800, Australia",-12.4631496,130.8420973,0.63,1.34,restaurant,Smith Street
156,"Mr Sushi, 48-50, Smith Street, Darwin City, Darwin, City of Darwin, Northern Territory, 0800, Australia",-12.4629631,130.8422611,0.63,1.53,restaurant,Smith Street
157,"Tim's Surf and Turf, Litchfield Street, Darwin City, Darwin, City of Darwin, Northern Territory, 0800, Australia",-12.4623503,130.8441907,0.74,1.9,restaurant,Litchfield Street
158,"Noodle House, 84, Mitchell Street, Darwin City, Darwin, City of Darwin, Northern Territory, 0800, Australia",-12.4600612,130.8369453,1.4,2.65,restaurant,Mitchell Street
159,"Nightcliff Primary School, Pandanus Street, Nightcliff, Darwin, City of Darwin, Northern Territory, 0800, Australia",-12.3807665,130.8503049,11.31,14.96,school,Pandanus Street
160,"Nightcliff Middle School, Aralia Street, Rapid Creek, Darwin, City of Darwin, Northern Territory, 0800, Australia",-12.377622,130.8530767,13.11,16.04,school,Aralia Street
161,"Haileybury Rendall School, 6057, Berrimah Road, Berrimah, Darwin, City of Darwin, Northern Territory, 0828, Australia",-12.4440901,130.9222174,14.26,16.14,school,Berrimah Road
